Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Abnormality of the genital system	12/24	1.04269321362534e-12	1.78717616815383e-09	12	0.5	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;ETFA;RPL27;RPL26;RPS10;RPS24
Abnormality of the reproductive system	12/24	1.04269321362534e-12	1.78717616815383e-09	12	0.5	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;ETFA;RPL27;RPL26;RPS10;RPS24
Aase Smith syndrome 2	11/20	2.36814092881341e-12	2.70599570132412e-09	11	0.55	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;RPL27;RPL26;RPS10;RPS24
Abnormality of the urinary system	12/34	1.60211592863272e-10	1.37301335083824e-07	12	0.352941176470588	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24;LMNB1
Anemia, Macrocytic	12/41	1.9007502408684e-09	1.30315436513938e-06	12	0.292682926829268	RPL5;RPS14;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Hand deformities	12/47	1.06489782360574e-08	6.08411623220078e-06	12	0.25531914893617	RPL5;RPS17;RPS27;ZNHIT3;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Anemia, Diamond-Blackfan	14/70	1.91588768361871e-08	9.38237568492136e-06	14	0.2	RPL5;RPL31;RPL11;AHSA1;RPL35A;RPS14;RPS17;RPS27;RPS29;RPL35;RPL27;RPL26;RPS10;RPS24
Progressive macrocephaly	8/25	4.65095804874138e-07	0.000199293552388568	8	0.32	NDUFB3;NDUFS4;PTEN;NDUFA1;NDUFS3;NDUFAF2;TMEM126B;NDUFV2
Mitochondrial Diseases	31/384	8.0788692198012e-07	0.000307715152060872	31	0.0807291666666667	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;PDHB;COX6A1;COX7C;UQCRH;HSPD1;NFU1;MRPL3;NDUFV2;NDUFA9;NDUFA8;NDUFA4;MRPS22;NDUFA1;COX6C;UQCRQ;BOLA3;NDUFS5;NDUFAB1;NDUFS4;TMEM126A;NDUFAF2;NDUFS3;UQCRC2;TMEM126B
Pallor	11/57	9.39192438181996e-07	0.000321955167808788	11	0.192982456140351	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Acute necrotizing encephalopathy	7/22	2.59822101428672e-06	0.000809700148815897	7	0.318181818181818	NDUFB3;NDUFS4;NDUFA1;NDUFS3;NDUFAF2;TMEM126B;NDUFV2
Radial club hand	10/59	9.98229593394378e-06	0.00285160920512994	10	0.169491525423729	RPL5;RPS17;RPS29;RPL11;PTEN;RPL35A;RPL26;SMC3;RPS10;RPS24
Abnormal mitochondria in muscle tissue	7/30	2.51179424186029e-05	0.0066234082008439	7	0.233333333333333	NDUFB3;NDUFS4;NDUFA1;NDUFS3;NDUFAF2;TMEM126B;NDUFV2
Intermittent migraine headaches	12/95	2.96461147088479e-05	0.00725906294442362	12	0.126315789473684	RPL5;RPS17;RPS27;RPS29;RPL11;STAT4;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Cerebral Edema	8/42	3.22209492207364e-05	0.00736356092857895	8	0.19047619047619	NDUFB3;NDUFS4;NDUFA1;NDUFS3;NDUFAF2;ACADM;TMEM126B;NDUFV2
NADH:Q(1) Oxidoreductase deficiency	7/32	3.93999649707508e-05	0.00844144249498335	7	0.21875	NDUFB3;NDUFS4;NDUFA1;NDUFS3;NDUFAF2;TMEM126B;NDUFV2
MITOCHONDRIAL COMPLEX I DEFICIENCY	7/33	4.87101697297652e-05	0.00861054301538926	7	0.212121212121212	NDUFB3;NDUFS4;NDUFA1;NDUFS3;NDUFAF2;TMEM126B;NDUFV2
Abnormal heart beat	12/100	4.96663230177372e-05	0.00861054301538926	12	0.12	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
ECG abnormality	12/100	4.96663230177372e-05	0.00861054301538926	12	0.12	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Respiratory Failure	17/185	5.02365403464951e-05	0.00861054301538926	17	0.0918918918918919	NDUFA9;NDUFB3;PTEN;NDUFA1;SOD1;NFU1;EML4;POLB;TBK1;BOLA3;NDUFS4;NDUFAF2;NDUFS3;MATR3;TMEM126B;NDUFV2;OPTN
Cardiac conduction abnormality	12/102	6.04675485361617e-05	0.00987060744676011	12	0.117647058823529	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
Electrocardiogram abnormal	12/103	6.65897382232323e-05	0.00992476620127133	12	0.116504854368932	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
HIV Coinfection	12/103	6.65897382232323e-05	0.00992476620127133	12	0.116504854368932	PSMA5;PSMA6;PSMD6;EMG1;HSP90AA1;HSPH1;PSMA4;DNAJC7;PSME2;NUP88;ILF2;HSPD1
Electrocardiographic changes	12/104	7.32393108648187e-05	0.0104610149018583	12	0.115384615384615	RPL5;RPS17;COX7B;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPS10;RPS24
