Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Translation (GO:0006412)	60/232	8.58688628044767e-39	1.52588969203555e-35	60	0.258620689655172	RPL4;MRPS17;RPL5;RPL30;RPL32;RPL31;RPL34;MRPL39;MRPL36;RPL10A;MRPL35;RPL6;MRPL32;RPL7;MRPL33;EEF1B2;RPS4X;RPS14;MRPL3;RPS17;RPS18;RPL35;RPL39;RPS10;RPS13;RPS12;RPL21;RPL23;MRPS22;RPL22;RPS6;MRPS21;RPS3A;MRPS18C;EEF1A1;MRPL50;MRPS9;MRPL51;RPL27;RPL26;MRPS33;RPL12;RPL11;MRPS31;MRPL17;RPS27A;ZC3H15;RWDD1;RPL41;RPL35A;MRPL21;RPS25;RPS27;COPS5;RPS29;NACA;RPS20;ABCE1;RPS24;RPL26L1
Cytoplasmic Translation (GO:0002181)	40/101	2.06577772506145e-34	1.8354435087171e-31	40	0.396039603960396	EIF4A2;RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL10A;RPL6;RPL7;RPS4X;RPS14;RPS17;RPS18;RPL35;RPS27A;RPL39;RPS10;RPS13;ZC3H15;RPS12;RWDD1;RPL41;RPL21;RPL23;RPL22;RPS6;RPL35A;RPS3A;RPS25;EIF3M;RPS27;RPS29;RPL27;RPS20;RPL26;RPS24;RPL26L1
Macromolecule Biosynthetic Process (GO:0009059)	50/189	5.74177721735537e-33	3.4010460384135e-30	50	0.264550264550265	RPL4;MRPS17;RPL5;RPL30;RPL32;RPL31;RPL34;MRPL36;RPL10A;MRPL35;RPL6;MRPL32;RPL7;EEF1B2;RPS4X;RPS14;MRPL3;RPS17;RPS18;RPL35;KPNA4;RPL39;RPS10;RPS13;RPS12;RPL21;RPL23;RPL22;RPS6;MRPS21;RPS3A;MRPS18C;EEF1A1;MRPL51;PTRH2;RPL27;RPL26;MRPS33;RPL12;RPL11;RPS27A;RPL41;RPL35A;RPS25;COPS5;RPS27;NACA;RPS29;RPS20;RPS24
Gene Expression (GO:0010467)	60/381	3.83737354222254e-26	1.70475319613236e-23	60	0.15748031496063	RPL4;MRPS17;RPL5;RPL30;RPL32;RPL31;RPL34;CISD1;MRPL36;RPL10A;PWP1;MRPL35;RPL6;MRPL32;RPL7;NFU1;RPS4X;RPS14;MRPL3;RPS17;RPS18;CASP4;CASP1;RPL35;KPNA4;RPL39;RPS10;RPS13;RPS12;RPL21;RPL23;RPL22;RPS6;MRPS21;RPS3A;THOC7;MRPS18C;EEF1A1;MRPL51;BOLA3;RPL27;RPL26;MRPS33;RPL12;RPL11;HSPD1;EXOSC7;NUP88;RPS27A;RPL41;GZMA;RPL35A;RPS25;RPS27;COPS5;RPS29;NACA;MPHOSPH10;RPS20;RPS24
Aerobic Electron Transport Chain (GO:0019646)	22/64	6.55631813344767e-18	2.3301154646273e-15	22	0.34375	NDUFA9;NDUFA8;COX7B;NDUFB6;UQCRB;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;COX7A2;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;UQCRC2;NDUFV2
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	22/65	9.63384551797153e-18	2.85322391423923e-15	22	0.338461538461538	NDUFA9;NDUFA8;COX7B;NDUFB6;UQCRB;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;COX7A2;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;UQCRC2;NDUFV2
Cellular Respiration (GO:0045333)	24/85	3.63061277456463e-17	9.21656985771622e-15	24	0.282352941176471	NDUFA9;NDUFA8;COX7B;NDUFB6;UQCRB;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;ETFA;COX7A2;COX6A1;COX6C;COX7C;UQCRH;BLOC1S1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;UQCRC2;NDUFV2
Ribosome Biogenesis (GO:0042254)	31/161	1.41563911922238e-16	3.14448839357271e-14	31	0.192546583850932	RPL5;RPL11;NOL7;SDAD1;RPL7;RPS4X;EXOSC7;RPS14;RPS17;EMG1;METTL5;RIOK2;ZNF622;RPS27A;RPS13;EIF2A;RPS12;UTP6;NGDN;RPS6;WDR75;RPL35A;RPS3A;RPS25;EBNA1BP2;RPS27;MPHOSPH10;RPL27;RPL26;RPS24;RPL26L1
Ribonucleoprotein Complex Biogenesis (GO:0022613)	27/120	2.14072069705181e-16	4.22673408740119e-14	27	0.225	RPL5;RPL11;NOL7;SDAD1;RPL7;RPS4X;RPS14;RPS17;EMG1;RIOK2;ZNF622;RPS27A;RPS13;RPS12;UTP6;NGDN;RPS6;WDR75;RPL35A;RPS3A;RPS25;EBNA1BP2;RPS27;MPHOSPH10;RPL26;RPS24;RPL26L1
Protein Metabolic Process (GO:0019538)	61/614	2.89183925527572e-16	5.13879835662496e-14	61	0.0993485342019544	RPL4;MRPS17;RPL5;RPL30;RPL32;RPL31;RPL34;CISD1;MRPL36;UBE3A;PARK7;RPL10A;MRPL35;RPL6;MRPL32;RPL7;NFU1;RPS4X;PCMT1;UBL5;MRPL3;RPS14;RPS17;RPS18;CASP4;CASP1;RPL35;RPL39;RPS10;B2M;RPS13;RPS12;RPL21;RPL23;RPL22;RPS6;MRPS21;RPS3A;UCHL3;MRPS18C;EEF1A1;MRPL51;BOLA3;RPL27;RPL26;RPL12;MRPS33;RPL11;HSPD1;RPS27A;SLC35A1;RPL41;GZMA;RPL35A;RPS25;COPS5;RPS27;NACA;RPS29;RPS20;RPS24
