Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
RNA binding (GO:0003723)	127/1406	1.04929981615393e-29	3.89290231793107e-27	127	0.0903271692745377	RPL4;EIF4A2;RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;PARK7;RPL10A;SRP14;RPL6;RPL7;PPP1CC;RPS14;PNN;RPS17;SNRPD2;RPS18;MAGOH;RPL35;RPL39;RPS10;RPS13;RPS12;EIF2A;RPL21;RPL23;RPL22;NGDN;RPS6;WDR75;ILF2;EEF1A1;EBNA1BP2;CLNS1A;SUB1;UNC50;SNRPG;RPL24;RPL27;ERH;MATR3;RPL26;SNRPF;PPIG;ZCCHC7;DDX1;TXN;GTF2E2;FXR1;EMG1;PRDX1;ZC3H15;BTF3;HSPA8;RPL41;LSM1;UPF3B;LARP7;CWC15;TBCA;LSM5;MRPL21;LSM3;MRPL22;RPS25;LSM7;RPS27;MPHOSPH10;RPS20;LSM14A;RPS24;ISY1;RBM25;GDI2;HMGB2;MRPL39;ZCCHC17;MRPL32;RPS4X;NGRN;MRPL3;RBM34;HSP90AA1;PRMT1;MRPS21;RPS3A;GNL2;DDX50;SRP9;GNL3;NME1;PSMA6;MRPS9;SYF2;FRG1;SNRPA1;HDAC2;RPL12;RPL11;WBP4;NOL7;MRPS31;RPS27L;MTIF2;HSPD1;EXOSC7;BCLAF1;ZNF622;RPS27A;RPL17;EIF4B;UTP6;SSB;CNBP;CCDC59;RPL35A;DEK;HSPE1;RSL1D1;CEBPZ;EIF3E;SSBP1;TPT1;RPL26L1;METAP2
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	15/58	1.25087086413859e-10	2.1994103138732e-08	15	0.258620689655172	NDUFA9;NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;COX6A1;UQCRH;UQCRQ;NDUFS5;NDUFS4;NDUFS3;NDUFV2
NADH dehydrogenase (quinone) activity (GO:0050136)	12/35	2.3713318747959e-10	2.1994103138732e-08	12	0.342857142857143	NDUFA9;NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFS5;NDUFB3;NDUFS4;NDUFB2;NDUFA1;NDUFS3;NDUFV2
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	12/35	2.3713318747959e-10	2.1994103138732e-08	12	0.342857142857143	NDUFA9;NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFS5;NDUFB3;NDUFS4;NDUFB2;NDUFA1;NDUFS3;NDUFV2
mRNA 5'-UTR binding (GO:0048027)	8/25	4.65095804874138e-07	3.4510108721661e-05	8	0.32	RPL5;RPS14;RSL1D1;RPL41;RPS3A;RPL26;RPS13;GNL3
rRNA binding (GO:0019843)	9/42	3.69942993060536e-06	0.000228748084042431	9	0.214285714285714	RPL5;NGRN;RPS14;EMG1;RPL12;RPL23;RPL11;RPS13;MRPS18C
ubiquitin ligase inhibitor activity (GO:1990948)	4/8	5.30129509780773e-05	0.0028096864018381	4	0.5	RPL5;RPL23;RPL11;RPS20
ubiquitin-protein transferase inhibitor activity (GO:0055105)	4/9	9.31346722317421e-05	0.00431912042474704	4	0.444444444444444	RPL5;RPL23;RPL11;RPS20
ribosomal small subunit binding (GO:0043024)	5/17	0.00011484078398223	0.00473399231748972	5	0.294117647058824	MTIF2;MTIF3;ABCE1;EIF4B;NME1
cadherin binding (GO:0045296)	21/322	0.000874358873754476	0.0324387142162911	21	0.0652173913043478	HSPA8;ANXA1;RPL34;AHSA1;PARK7;RPL6;PSMB6;PCMT1;RSL1D1;SNX2;PRDX1;GLOD4;RPL24;EIF3E;S100P;CCT8;ARGLU1;ZC3H15;EIF2A;NCK1;CHMP5
mRNA binding (GO:0003729)	18/263	0.00116182710161088	0.0391852595179669	18	0.0684410646387833	RPL5;RPL41;RBM25;SSB;CNBP;UPF3B;RPS3A;PARK7;RPL7;GNL3;FXR1;RPS14;RSL1D1;RPL35;RPL26;LSM14A;RPS13;EIF2A
translation initiation factor activity (GO:0003743)	6/41	0.0013760254063214	0.0425421188121034	6	0.146341463414634	EIF4A2;EIF3M;COPS5;EIF3E;MTIF3;EIF2A
