Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Ribosome	52/158	1.29221629747503e-39	2.85579801741982e-37	52	0.329113924050633	RPL4;MRPS17;RPL5;RPL30;RPL32;RPL31;RPL34;MRPL36;RPL10A;MRPL35;RPL6;MRPL32;RPL7;MRPL33;RPS4X;RPS14;MRPL3;RPS17;RPL36AL;RPS18;RPL35;RPL39;RPS10;RPS13;RPS12;RPL21;RPL23;RPL22;RPS6;MRPS21;RPS3A;MRPS18C;MRPS9;RPL24;RPL27;RPL26;RPL12;RPL11;MRPL17;RPS27L;RPS27A;RPL17;RPL41;RPL35A;MRPL21;MRPL22;RPS25;RPS27;RPS29;RPS20;RPS24;RPL26L1
Coronavirus disease	42/232	5.9668054316894e-21	6.59332000201679e-19	42	0.181034482758621	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPS27L;RPL10A;RPL6;RPL7;RPS4X;RPS14;RPS17;TBK1;RPL36AL;RPS18;CASP1;RPL35;RPS27A;RPL39;RPS10;RPL17;RPS13;RPS12;RPL41;RPL21;RPL23;RPL22;RPS6;RPL35A;RPS3A;RPS25;RPS27;RPS29;RPL24;RPL27;RPS20;RPL26;RPS24;RPL26L1
Parkinson disease	39/249	2.86726993671482e-17	2.11222218671325e-15	39	0.156626506024096	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;CALML4;TXN;PARK7;COX6A1;COX7C;UQCRH;PSMB6;PSMB7;PSMD6;PSMB1;RPS27A;NDUFV2;NDUFA9;NDUFA8;NDUFA4;NDUFA1;COX6C;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;VDAC3;NDUFS3;UQCRC2;CALM2
Oxidative phosphorylation	27/133	3.32169912355155e-15	1.83523876576223e-13	27	0.203007518796992	COX7B;UQCRB;NDUFB6;NDUFB5;COX17;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;ATP6V1E1;NDUFV2;ATP6V1D;NDUFA9;NDUFA8;ATP6V1G1;NDUFA4;NDUFA1;COX6C;PPA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;UQCRC2
Prion disease	37/273	2.16690334529591e-14	8.53953869578034e-13	37	0.135531135531136	COX7B;UQCRB;NDUFB6;NCF2;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMB6;PSMB7;PSMD6;PSMB1;NDUFV2;NDUFA9;HSPA8;NDUFA8;NDUFA4;NDUFA1;COX6C;SOD1;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;VDAC3;NDUFS3;UQCRC2
Amyotrophic lateral sclerosis	43/364	2.31842679523448e-14	8.53953869578034e-13	43	0.118131868131868	DCTN6;COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMB6;PSMB7;PSMD6;TBK1;RB1CC1;PSMB1;CASP1;NUP88;NDUFV2;NDUFA9;NDUFA8;NDUFA4;NDUFA1;COX6C;SOD1;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;NDUFS3;MATR3;UQCRC2;ACTR10;OPTN;NUP37
Huntington disease	39/306	3.27322627026138e-14	1.03340429389681e-12	39	0.127450980392157	DCTN6;COX7B;HDAC2;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMB6;PSMB7;PSMD6;RB1CC1;PSMB1;NDUFV2;NDUFA9;NDUFA8;NDUFA4;NDUFA1;COX6C;SOD1;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;VDAC3;NDUFS3;UQCRC2;ACTR10
Pathways of neurodegeneration	44/475	5.05120034163821e-11	1.251651297575e-09	44	0.0926315789473684	DCTN6;COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;PARK7;CALML4;COX6A1;COX7C;UQCRH;PSMB6;PSMB7;PSMD6;TBK1;RB1CC1;PSMB1;RPS27A;NDUFV2;NDUFA9;NDUFA8;NDUFA4;NDUFA1;COX6C;SOD1;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;PSMC2;NDUFAB1;NDUFS4;VDAC3;NDUFS3;UQCRC2;CALM2;ACTR10;OPTN
Alzheimer disease	38/369	5.09722247881223e-11	1.251651297575e-09	38	0.102981029810298	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;CALML4;COX6A1;COX7C;UQCRH;PSMB6;PSMB7;PSMD6;RB1CC1;PSMB1;NAE1;NDUFV2;NDUFA9;NDUFA8;NDUFA4;NDUFA1;COX6C;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;VDAC3;NDUFS3;UQCRC2;CALM2
Diabetic cardiomyopathy	27/203	1.15417137361319e-10	2.55071873568514e-09	27	0.133004926108374	COX7B;UQCRB;NDUFB6;NCF2;NDUFB5;NDUFB3;PTEN;NDUFB2;COX7A2;PDHB;COX6A1;COX7C;UQCRH;PPP1CC;NDUFV2;NDUFA9;NDUFA8;NDUFA4;NDUFA1;COX6C;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;VDAC3;NDUFS3;UQCRC2
