Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Lupus Erythematosus, Systemic	60/1113	3.5800547938672e-09	1.58023618601298e-05	60	0.0539083557951483	ITGAM;HIP1;ITGB2;PIK3CD;ICAM3;ADAR;ITGAL;ARHGAP4;TNFSF13B;FCGRT;ITGAX;EP300;TIMP1;TRIM21;SLC12A9;SRRM2;SYK;PRKCD;MKL1;TYK2;RENBP;MMP9;F5;TNFRSF1A;IRF7;TLR8;ARHGEF2;TLR5;RBM23;IRF9;SLC22A4;GRN;CEBPB;MTMR3;NOTCH1;FPR1;CXCR4;ITPR3;FOXO3;LILRA2;LPP;RXRA;TNFRSF14;CD14;SLC15A4;LYN;CD163;HSPA1L;STAT2;STAT3;MYO9B;ARID3A;NFKBIA;PTPRC;SELL;SP1;PTPN6;SKIV2L;TRIM38;HSPA1B
Crohn Disease	50/912	4.79870939008415e-08	0.00010579522798424	50	0.0548245614035088	ITGAM;ITGB2;ITGAL;CTSS;PANX2;TAGAP;ITGAX;EP300;TIMP1;APAF1;SLC11A1;TYK2;MMP9;F5;TNFRSF1A;IL17RA;ACTA2;SLC9A8;TLR8;ULK1;ARHGEF2;TLR5;SLC22A4;MTMR3;NOTCH1;RGS14;CXCR4;FPR2;FOXO3;LPP;SBNO2;ALOX5;STAT6;TNFRSF14;CD14;ZNF148;STAT5B;CD163;CARD8;CYP4F3;STAT3;MYO9B;DEF8;NFKBIA;PTPRC;ATG16L2;SELL;VIM;HSPA1B;CPEB4
Arthritis	39/630	7.19043235053736e-08	0.00010579522798424	39	0.0619047619047619	SLC22A4;GRN;CEBPB;ITGAM;TUBGCP2;ITGB2;PIK3CD;CXCR4;FPR2;FOXO3;ITGAL;THBS1;LTB4R;TNFSF13B;FCGRT;ALOX5;STAT6;TNFRSF14;TIMP1;SLC16A3;TRIM21;SLC12A9;CTSB;SEMA4A;SYK;CARD8;SLC11A1;STAT3;RHBDF2;MMP9;UNC13D;TNFRSF1A;OSCAR;CLCN7;SELL;TLR8;PADI4;VIM;TLR5
Classical Hodgkin's Lymphoma	18/166	1.06218879799101e-07	0.000117212533858308	18	0.108433734939759	CSF1R;STAT5B;PTPN1;CD163;NOTCH1;SYK;CEBPD;DUSP1;STXBP2;STAT3;PIK3CD;KLHDC8B;NFKBIA;PTPRC;RYBP;TNFRSF14;STAT6;SLC12A9
Sepsis	34/529	2.13591629201287e-07	0.000188558690258896	34	0.0642722117202268	FCN1;ITGAM;SELPLG;ITGB2;PIK3CD;CXCR4;ADAR;FPR2;AOAH;TCIRG1;ITGAL;LTB4R;ALOX5;TAGAP;TIMP1;CD14;ATP6V0A1;CTSB;NFE2;CD163;G6PD;DUSP1;SLC11A1;STAT3;MMP9;F5;TNFRSF1A;HSH2D;SELL;CRISPLD2;FASN;TLR8;TLR5;PNPLA2
Multiple Sclerosis	54/1106	5.70820928027776e-07	0.000419933929385767	54	0.0488245931283906	ITGAM;SLC44A2;ITGB2;DYSF;ITGAL;TNFSF13B;MMP25;FCGRT;TAGAP;ITGAX;TIMP1;SLC11A1;TALDO1;TYK2;HLA-F;MMP9;UNC13D;TNFRSF1A;SLC9A8;TLR8;PADI4;ARHGEF2;TKT;CSF1R;NOTCH1;SELPLG;RGS14;CXCR4;LPP;KIR2DL3;THBS1;KIR2DL4;CST3;NXF1;SBNO2;ALOX5;MFN2;STAT6;MGAT1;CD14;SEMA4A;HSPA1L;STAT2;CYP4F3;STAT3;ABCA7;MYO9B;SORL1;EHD1;PTPRC;SP1;PTPN6;SKIV2L;HSPA1B
Atherosclerosis	54/1134	1.22716020639075e-06	0.000773812164429823	54	0.0476190476190476	ITGAM;ITGB2;PIK3CD;CTSS;LTB4R;BEST1;ANPEP;ITGAX;TIMP1;SLC16A3;CTSB;SYK;DUSP1;RENBP;MMP9;F5;TNFRSF1A;OSCAR;NISCH;VCAN;HSH2D;ADAM15;MYH9;ADAM8;PADI4;ARHGEF2;VCL;CSF1R;GRN;NOTCH1;SELPLG;CXCR4;FPR2;FOXO3;THBS1;SLC9A1;CST3;ALOX5;SCAP;STAT6;TNFRSF14;CD14;ZNF148;NFE2;PTPN1;CD163;CARD8;STAT3;SORL1;SP1;VIM;HSPA1B;PNPLA2;SNTB2
Acute Promyelocytic Leukemia	30/475	1.60539031567203e-06	0.000792519688975217	30	0.0631578947368421	CSF1R;CEBPB;NOTCH1;ITGAM;UBA7;ITGB2;PIK3CD;CXCR4;FOXO3;ITGAL;THBS1;HK3;RXRA;ALOX5;ANPEP;ITGAX;TIMP1;CD14;SLC12A9;STAT5B;DAPK2;STAT2;CYP4F3;STAT3;ARID3A;MMP9;PTPRC;PADI4;VIM;PNPLA2
Inflammatory Bowel Diseases	46/911	1.69910935481559e-06	0.000792519688975217	46	0.0504939626783754	SLC22A4;FCN1;GRN;MTMR3;CSF3R;NOTCH1;RGS14;MAST3;ITGB2;ICAM3;CXCR4;FPR2;ITGAL;LPP;SLC9A1;SBNO2;ALOX5;ITGAX;STAT6;TNFRSF14;TIMP1;CD14;SLC15A4;CD163;CARD8;SLC11A1;STAT3;MYO9B;PILRA;TYK2;MMP9;F5;TNFRSF1A;NFKBIA;KLF6;PTPRC;ADAM15;IMPDH1;FASN;TLR8;ULK1;PADI4;ARHGEF2;TLR5;HSPA1B;CPEB4
Ulcerative Colitis	46/915	1.91211498583953e-06	0.000792519688975217	46	0.0502732240437158	SLC22A4;NOTCH1;ITGAM;RGS14;MAST3;CXCR4;FPR2;FOXO3;ITGAL;SLC9A1;TNFSF13B;PANX2;NXF1;SBNO2;MKNK2;TOM1;ITGAX;STAT6;TNFRSF14;TIMP1;CD14;SLC12A9;LYN;CD163;HSPA1L;DUSP1;CARD8;SLC11A1;STAT3;MYO9B;CFLAR;TYK2;PGD;MMP9;F5;TNFRSF1A;NFKBIA;ACTA2;VCAN;PTPRC;SELL;FASN;SLC9A8;PADI4;TLR5;HSPA1B
Aortic Aneurysm, Abdominal	22/288	1.97501508353588e-06	0.000792519688975217	22	0.0763888888888889	STAT5B;NOTCH1;GAA;CARD8;STAT3;CXCR4;RENBP;MMP9;THBS1;CTSS;LTB4R;CST3;VCAN;PTPRC;SELL;FCGRT;ALOX5;EP300;PADI4;CD14;TIMP1;CTSB
