Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
neutrophil activation involved in immune response (GO:0002283)	59/485	4.5246340478215e-25	1.12708634131234e-21	59	0.121649484536082	ARHGAP9;FCN1;ITGAM;SLC44A2;ITGB2;TCIRG1;ITGAL;CTSS;HK3;MMP25;ANPEP;TOM1;ITGAX;TBC1D10C;PGLYRP1;CTSD;CTSB;APAF1;SYK;CD93;SLC11A1;GAA;PRKCD;MMP9;UNC13D;CKAP4;OSCAR;RAB37;CRISPLD2;ADAM8;ALDOA;VCL;GRN;BRI3;STXBP2;FPR1;UBR4;FPR2;CFP;LILRA2;GNS;CST3;NCSTN;ALOX5;RAB24;CD14;SLC15A4;ATP6V0A1;STK11IP;HSPA6;NBEAL2;IGF2R;PTPRC;SELL;IMPDH1;P2RX1;PTPN6;HSPA1B;SIGLEC5
neutrophil degranulation (GO:0043312)	57/481	1.15102235156997e-23	1.4335983388804e-20	57	0.118503118503119	ARHGAP9;FCN1;ITGAM;SLC44A2;ITGB2;TCIRG1;ITGAL;CTSS;HK3;MMP25;ANPEP;TOM1;ITGAX;TBC1D10C;PGLYRP1;CTSD;CTSB;APAF1;CD93;SLC11A1;GAA;PRKCD;MMP9;UNC13D;CKAP4;OSCAR;RAB37;CRISPLD2;ADAM8;ALDOA;VCL;GRN;BRI3;STXBP2;FPR1;UBR4;FPR2;CFP;GNS;CST3;NCSTN;ALOX5;RAB24;CD14;SLC15A4;ATP6V0A1;STK11IP;HSPA6;NBEAL2;IGF2R;PTPRC;SELL;IMPDH1;P2RX1;PTPN6;HSPA1B;SIGLEC5
neutrophil mediated immunity (GO:0002446)	57/488	2.37674038391736e-23	1.97348676544605e-20	57	0.116803278688525	ARHGAP9;FCN1;ITGAM;SLC44A2;ITGB2;TCIRG1;ITGAL;CTSS;HK3;MMP25;ANPEP;TOM1;ITGAX;TBC1D10C;PGLYRP1;CTSD;CTSB;APAF1;CD93;SLC11A1;GAA;PRKCD;MMP9;UNC13D;CKAP4;OSCAR;RAB37;CRISPLD2;ADAM8;ALDOA;VCL;GRN;BRI3;STXBP2;FPR1;UBR4;FPR2;CFP;GNS;CST3;NCSTN;ALOX5;RAB24;CD14;SLC15A4;ATP6V0A1;STK11IP;HSPA6;NBEAL2;IGF2R;PTPRC;SELL;IMPDH1;P2RX1;PTPN6;HSPA1B;SIGLEC5
cytokine-mediated signaling pathway (GO:0019221)	37/621	4.04199137977129e-07	0.000251715013175257	37	0.0595813204508857	CSF1R;CSF3R;ITGAM;CEBPD;ITGB2;FPR1;IFI6;INPPL1;PIK3CD;ADAR;FOXO3;TNFSF13B;ALOX5;ITGAX;TRIM25;STAT6;TNFRSF14;TIMP1;TRIM21;STAT5B;SYK;STAT2;PRKCD;STAT3;TALDO1;ACTN4;TYK2;HLA-F;MMP9;TNFRSF1A;IL17RA;NFKBIA;IRF7;PTPN6;TRIM38;VIM;IRF9
regulation of leukocyte degranulation (GO:0043300)	5/9	9.07444519190053e-07	0.000452088859460485	5	0.555555555555556	LYN;SYK;FES;STXBP2;UNC13D
macrophage activation (GO:0042116)	8/36	1.74008043508962e-06	0.000722423393968043	8	0.222222222222222	SBNO2;ITGAM;CD93;SYK;SLC11A1;ITGB2;DYSF;FPR2
regulation of myeloid leukocyte mediated immunity (GO:0002886)	5/11	3.19722513996023e-06	0.00113775540337728	5	0.454545454545455	LYN;SYK;FES;STXBP2;UNC13D
cellular response to cytokine stimulus (GO:0071345)	29/482	6.16693249146335e-06	0.0019202286045294	29	0.0601659751037344	CSF1R;CSF3R;ITGAM;SELPLG;CEBPD;ITGB2;GBA;FPR1;INPPL1;PIK3CD;CXCR4;FOXO3;SBNO2;ALOX5;ITGAX;STAT6;TIMP1;STAT5B;SYK;DUSP1;STAT2;STAT3;TYK2;MMP9;TNFRSF1A;NLRP12;PTPN6;ARHGEF2;VIM
positive regulation of cytokine production (GO:0001819)	23/335	6.95158171889034e-06	0.00192404334019509	23	0.0686567164179104	FCN1;ZBP1;CSF1R;CEBPB;SYK;SLC11A1;STAT3;PIK3CD;LILRA2;SORL1;IL17RA;LILRA5;PTPRC;FLOT1;IRF7;TLR8;EP300;STAT6;TNFRSF14;CD14;ARHGEF2;TLR5;HSPA1B
inflammatory response (GO:0006954)	18/230	1.20710716926943e-05	0.00270921203837603	18	0.0782608695652174	CSF1R;CEBPB;SLC11A1;PLA2G4B;STAT3;ITGB2;FPR1;CXCR4;PIK3CD;FPR2;ITGAL;THBS1;LTB4R;TNFRSF1A;MMP25;ADAM8;CD14;TLR5
growth hormone receptor signaling pathway via JAK-STAT (GO:0060397)	5/14	1.30512021118075e-05	0.00270921203837603	5	0.357142857142857	LYN;PTPN1;STAT5B;STAT3;STAT6
positive regulation of superoxide anion generation (GO:0032930)	5/14	1.30512021118075e-05	0.00270921203837603	5	0.357142857142857	ITGAM;SYK;ITGB2;PRKCD;FPR2
negative regulation of MAP kinase activity (GO:0043407)	8/48	1.68582702345795e-05	0.00323030393494905	8	0.166666666666667	LYN;PTPN1;RGS14;DUSP1;GBA;PRKCD;SORL1;CDK5RAP3
regulation of superoxide anion generation (GO:0032928)	5/15	1.91912230384547e-05	0.00341466689919933	5	0.333333333333333	ITGAM;SYK;ITGB2;PRKCD;FPR2
