Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Lysosome	15/128	4.47960849397848e-07	0.000111094290650666	15	0.1171875	ATP6V0B;ATP6AP1;SLC11A1;GAA;GBA;TCIRG1;GNS;IGF2R;CTSS;IDS;TPP1;ATP6V0D1;CTSD;ATP6V0A1;CTSB
Tuberculosis	16/180	7.47216462065653e-06	0.000655345757379656	16	0.0888888888888889	ATP6V0B;CEBPB;ITGAM;APAF1;ATP6AP1;SYK;ITGB2;TCIRG1;CTSS;TNFRSF1A;ITGAX;EP300;CD14;ATP6V0D1;CTSD;ATP6V0A1
Legionellosis	9/57	7.92756964572164e-06	0.000655345757379656	9	0.157894736842105	NFKBIA;ITGAM;APAF1;HSPA1L;ITGB2;HSPA6;CD14;TLR5;HSPA1B
Regulation of actin cytoskeleton	17/218	2.19782517503025e-05	0.0011866869623095	17	0.0779816513761468	ITGAM;ACTN1;ITGB2;CXCR4;PIK3CD;ACTN4;SSH2;ITGAL;SSH3;SLC9A1;FGD3;SPATA13;ITGAX;MYH9;ITGB7;ITGA5;VCL
Shigellosis	18/246	2.9819604377424e-05	0.0011866869623095	18	0.0731707317073171	RNF31;ACTN1;PRKCD;PIK3CD;ITPR3;ACTN4;FOXO3;TNFRSF1A;NFKBIA;HK3;RBCK1;CD14;ARHGEF2;ITGA5;TLN1;TLR5;PLCB2;VCL
Measles	13/139	3.10930145308091e-05	0.0011866869623095	13	0.0935251798561151	STAT5B;APAF1;HSPA1L;STAT2;HSPA6;STAT3;PIK3CD;ADAR;TYK2;NFKBIA;IRF7;IRF9;HSPA1B
Viral carcinogenesis	16/203	3.34951965168003e-05	0.0011866869623095	16	0.0788177339901478	LYN;STAT5B;SYK;ACTN1;SRF;STAT3;UBR4;PIK3CD;ACTN4;HLA-F;NFKBIA;IRF7;EP300;ATP6V0D1;IRF9;CREB5
Phagosome	13/152	7.89280736681082e-05	0.00244677028371136	13	0.0855263157894737	ATP6V0B;ITGAM;ATP6AP1;ITGB2;TCIRG1;HLA-F;THBS1;CTSS;SEC61A1;CD14;ITGA5;ATP6V0D1;ATP6V0A1
NOD-like receptor signaling pathway	14/181	0.000125432614953942	0.00345636538984195	14	0.0773480662983425	RNF31;CARD8;STAT2;PRKCD;ITPR3;TYK2;NFKBIA;NLRP12;IRF7;MFN2;RBCK1;PLCB2;IRF9;CTSB
Hepatitis B	13/162	0.000150498245960997	0.00373235649983273	13	0.0802469135802469	STAT5B;APAF1;ATP6AP1;STAT2;STAT3;PIK3CD;TYK2;MMP9;NFKBIA;IRF7;EP300;STAT6;CREB5
Osteoclast differentiation	11/127	0.000247375972865121	0.00557720375186817	11	0.0866141732283465	NFKBIA;CSF1R;SYK;STAT2;PIK3CD;TYK2;LILRA2;IRF9;OSCAR;TNFRSF1A;LILRA5
Influenza A	13/172	0.000272061360006956	0.00562260144014375	13	0.0755813953488372	APAF1;STAT2;PIK3CD;ADAR;TYK2;TNFRSF1A;NFKBIA;NXF1;KPNA6;IRF7;EP300;TRIM25;IRF9
Leukocyte transendothelial migration	10/114	0.000423787121782918	0.00737006872961968	10	0.087719298245614	ITGAM;ACTN1;ITGB2;PIK3CD;CXCR4;ACTN4;ITGAL;MMP9;VCL;SIPA1
Necroptosis	12/159	0.000469269162306167	0.00737006872961968	12	0.0754716981132075	ZBP1;RNF31;STAT5B;PLA2G4B;STAT2;STAT3;STAT6;RBCK1;TYK2;CFLAR;IRF9;TNFRSF1A
Autophagy	11/137	0.000475488305136753	0.00737006872961968	11	0.0802919708029197	MTMR3;ATG16L2;DAPK2;PRKCD;DDIT4;ATG2A;PIK3CD;ULK1;CFLAR;CTSD;CTSB
Estrogen signaling pathway	11/137	0.000475488305136753	0.00737006872961968	11	0.0802919708029197	HSPA1L;SP1;PRKCD;HSPA6;PIK3CD;ITPR3;CTSD;MMP9;PLCB2;HSPA1B;CREB5
Antigen processing and presentation	8/78	0.000559326146242993	0.00815958142754484	8	0.102564102564103	HSPA1L;HSPA6;HLA-F;KIR2DL3;CTSS;KIR2DL4;HSPA1B;CTSB
Pentose phosphate pathway	5/30	0.000676673554631754	0.00901061176002901	5	0.166666666666667	G6PD;TALDO1;PGD;ALDOA;TKT
B cell receptor signaling pathway	8/81	0.000720836976289516	0.00901061176002901	8	0.0987654320987654	LYN;NFKBIA;SYK;INPPL1;PIK3CD;PTPN6;LILRA2;LILRA5
Lipid and atherosclerosis	14/215	0.000726662238712017	0.00901061176002901	14	0.0651162790697674	LYN;HSPA1L;APAF1;STAT3;HSPA6;PIK3CD;MMP9;TNFRSF1A;NFKBIA;RXRA;IRF7;CD14;PLCB2;HSPA1B
Kaposi sarcoma-associated herpesvirus infection	13/193	0.00081445577395375	0.0092661846511511	13	0.0673575129533679	LYN;SYK;STAT2;STAT3;PIK3CD;ITPR3;TYK2;HLA-F;TNFRSF1A;NFKBIA;IRF7;EP300;IRF9
Platelet activation	10/124	0.000822000251311791	0.0092661846511511	10	0.0806451612903226	LYN;APBB1IP;SYK;PLA2G4B;P2RX1;TBXAS1;PIK3CD;ITPR3;TLN1;PLCB2
NF-kappa B signaling pathway	9/104	0.000897286491729641	0.00967508912821526	9	0.0865384615384615	PIAS4;LYN;NFKBIA;SYK;TRIM25;CD14;CFLAR;TNFSF13B;TNFRSF1A
Human papillomavirus infection	18/331	0.00114358951568023	0.0117963390454308	18	0.054380664652568	ATP6V0B;NOTCH1;ATP6AP1;STAT2;UBR4;PIK3CD;TYK2;TCIRG1;HLA-F;THBS1;TNFRSF1A;EP300;ITGB7;ITGA5;ATP6V0D1;IRF9;ATP6V0A1;CREB5
Vibrio cholerae infection	6/50	0.0012031734451122	0.0117963390454308	6	0.12	SEC61A1;ATP6V0B;ATP6AP1;TCIRG1;ATP6V0D1;ATP6V0A1
Epstein-Barr virus infection	13/202	0.00123671296444033	0.0117963390454308	13	0.0643564356435644	LYN;SYK;APAF1;STAT2;STAT3;PIK3CD;TYK2;HLA-F;ITGAL;NFKBIA;IRF7;VIM;IRF9
Epithelial cell signaling in Helicobacter pylori infection	7/70	0.00142875848649277	0.0129912873495151	7	0.1	LYN;NFKBIA;ATP6V0B;ATP6AP1;TCIRG1;ATP6V0D1;ATP6V0A1
Hepatitis C	11/157	0.00146675824913881	0.0129912873495151	11	0.0700636942675159	NFKBIA;RXRA;APAF1;STAT2;STAT3;IRF7;PIK3CD;TYK2;CFLAR;IRF9;TNFRSF1A
Rap1 signaling pathway	13/210	0.00175212421182817	0.0142321136741672	13	0.0619047619047619	CSF1R;ITGAM;RGS14;ITGB2;FPR1;PIK3CD;ITGAL;THBS1;APBB1IP;TLN1;PLCB2;RAPGEF6;SIPA1
Insulin signaling pathway	10/137	0.00175480236250242	0.0142321136741672	10	0.072992700729927	HK3;PTPN1;FASN;MKNK1;MKNK2;INPPL1;FLOT1;PIK3CD;FLOT2;PHKA2
Rheumatoid arthritis	8/93	0.0017790142092709	0.0142321136741672	8	0.0860215053763441	ATP6V0B;ATP6AP1;ITGB2;TCIRG1;ITGAL;ATP6V0D1;TNFSF13B;ATP6V0A1
JAK-STAT signaling pathway	11/162	0.00188314827658692	0.0145943991435486	11	0.0679012345679012	PIAS4;STAT5B;CSF3R;STAT2;STAT3;EP300;PIK3CD;STAT6;PTPN6;TYK2;IRF9
Phosphatidylinositol signaling system	8/97	0.00232384854518528	0.0174640739153318	8	0.0824742268041237	MTMR3;IMPA2;DGKQ;ITPK1;INPPL1;PIK3CD;ITPR3;PLCB2
Cell adhesion molecules	10/148	0.0030905262226734	0.022531505508869	10	0.0675675675675676	VCAN;PTPRC;ITGAM;SELPLG;SELL;ITGB2;ICAM3;ITGB7;HLA-F;ITGAL
Amoebiasis	8/102	0.00317984956778393	0.022531505508869	8	0.0784313725490196	ITGAM;ACTN1;ITGB2;PIK3CD;ACTN4;CD14;PLCB2;VCL
HIF-1 signaling pathway	8/109	0.00476787460873046	0.0328453584156988	8	0.073394495412844	HK3;MKNK1;MKNK2;STAT3;EP300;PIK3CD;TIMP1;ALDOA
Acute myeloid leukemia	6/67	0.00537286051900364	0.0360126867219704	6	0.0895522388059701	CSF1R;STAT5B;ITGAM;STAT3;PIK3CD;CD14
Toxoplasmosis	8/112	0.00560983205869357	0.0366115355409475	8	0.0714285714285714	NFKBIA;HSPA1L;ALOX5;HSPA6;STAT3;TYK2;HSPA1B;TNFRSF1A
Neutrophil extracellular trap formation	11/189	0.00609348175692948	0.0387482942491926	11	0.0582010582010582	ITGAM;SELPLG;SYK;ITGB2;FPR1;PIK3CD;TLR8;PADI4;FPR2;ITGAL;PLCB2
Adherens junction	6/71	0.00711929259846858	0.0441396141105052	6	0.0845070422535211	PTPN1;ACTN1;EP300;PTPN6;ACTN4;VCL
Apoptosis	9/142	0.00737585215723841	0.0446149106096372	9	0.0633802816901408	NFKBIA;APAF1;PIK3CD;ITPR3;CFLAR;CTSD;CTSS;CTSB;TNFRSF1A
Inositol phosphate metabolism	6/73	0.00813153195923686	0.0480147601402558	6	0.0821917808219178	MTMR3;IMPA2;ITPK1;INPPL1;PIK3CD;PLCB2
