GeneSymbol	ensembl_id	pval	adj_pval	logFC	direction
LOC100008589		1.76938852538791e-05	0.000199017455289877	0.978305465744146	UP
ATHL1		3.65453308675979e-12	4.71434768192013e-10	0.579100670562282	UP
LOC643031		2.01552088863399e-11	1.81134862261537e-09	0.534301316415648	UP
HS.171171		1.69230473971577e-11	1.59532266040129e-09	0.462082201636125	UP
HS.508682		6.71621955519545e-11	5.01595555201176e-09	0.439339769788088	UP
MARCH6		1.19011998191378e-10	8.1438641706542e-09	0.412356031115477	UP
LOC401357		1.57840405162639e-06	2.48570979181654e-05	0.379230386085462	UP
MBD6		2.58818809035238e-12	3.50653965346686e-10	0.379032212284583	UP
LOC730994		8.73376385667647e-15	6.9256178629369e-12	0.378534821800416	UP
FOXO3		2.89641249368587e-10	1.76067046864109e-08	0.378120718619348	UP
ITGAL		4.05218414490234e-13	8.67070926434223e-11	0.369768670016049	UP
RYBP		3.43039331122707e-10	2.028220045263e-08	0.360383227565	UP
PLCB2		2.24306478783515e-12	3.16196195460725e-10	0.359078540510433	UP
TMEM86B		8.7287586106573e-05	0.000802099730408764	0.354945952093809	UP
SORL1		1.4571321799814e-09	6.70405131475745e-08	0.354926349517452	UP
EDG4		9.63519629866015e-10	4.79288795956045e-08	0.353360054323645	UP
TYK2		3.73275408853023e-14	1.57248098407599e-11	0.353308693859399	UP
BSG		0.000167407366601097	0.00141310895771201	0.351466917315262	UP
GPR56		9.62718016472263e-05	0.000875703118829578	0.346503391156414	UP
ACTN1		3.14329901370777e-07	6.21764377905908e-06	0.344577793972469	UP
CTSB		1.00184773482711e-10	7.03406686944628e-09	0.343867018107277	UP
MAST3		1.9166691927515e-11	1.76366273398543e-09	0.337698135679515	UP
FLJ21438		1.1386114602024e-11	1.17617255090103e-09	0.336573983385579	UP
HCG4		2.48963634472944e-06	3.71256003817757e-05	0.335961431546037	UP
OSBP2		0.00539413591400603	0.0269453378095174	0.335254025247885	UP
IKZF1		0.00734695323071721	0.0347693884594289	0.333363951307588	UP
ATP6AP1		3.65632056757817e-14	1.57248098407599e-11	0.332702410891663	UP
LOC653158		1.25090558776876e-08	4.07314801350646e-07	0.331617477943842	UP
TLN1		1.11639209292944e-08	3.70677921397422e-07	0.331286385148077	UP
HBQ1		0.000882788177582252	0.00594130106235524	0.330932519246014	UP
E2F2		0.00249387022252838	0.0142000496451083	0.329425887008478	UP
TCIRG1		8.80993281785609e-12	9.50098394808873e-10	0.329151717090879	UP
PIP5K2A		0.0032735869011131	0.0177762691723888	0.328164856546394	UP
PNPLA6		1.13922990338305e-12	1.90042878771413e-10	0.325998709445825	UP
STXBP2		4.76629034310279e-10	2.67716570709155e-08	0.325631830545488	UP
GRN		4.91423372416921e-09	1.88199794655293e-07	0.324508996283249	UP
SRRM2		1.40835381666068e-11	1.39597894305105e-09	0.323239370840946	UP
KIAA1324		0.00167088661998611	0.0102128256997156	0.321942099284257	UP
SLC25A37		2.44469802227474e-05	0.000263751514119845	0.319547198291685	UP
CECR1		6.23800160994253e-09	2.29444422108677e-07	0.316660583527824	UP
FAM39E		8.52696370443296e-12	9.38348850755988e-10	0.316399934598747	UP
HS.193767		7.84077630887495e-07	1.36208228133748e-05	0.315197682851005	UP
CNNM3		2.29152470058891e-11	2.01901298864633e-09	0.314568950635072	UP
SLC6A8		0.00255125929233158	0.0144778997643763	0.314322777880394	UP
ANPEP		2.1693198941236e-05	0.000238625188353596	0.312769704870751	UP
INPPL1		1.43541736544186e-11	1.41375327846361e-09	0.311198169587676	UP
ITGA2B		0.00146597938478833	0.0091301155447628	0.310894808220203	UP
LOC641710		1.95899311983733e-07	4.11984504710875e-06	0.310334610335614	UP
HS.563486		6.84659110944186e-09	2.48440030823233e-07	0.310236037217972	UP
RNF24		9.2138109803249e-07	1.55452789637384e-05	0.310059479581605	UP
LOC650832		0.000154005717074167	0.00131981822569504	0.309142589506576	UP
SBF1		3.17196835353054e-14	1.55489888690067e-11	0.309042229395168	UP
BCL2L1		0.000943478785967835	0.00626993629491713	0.308506024122297	UP
CRIPAK		4.1841381602908e-08	1.10488294749853e-06	0.307508348929591	UP
PITPNM1		1.2590098227524e-11	1.27131699742425e-09	0.307088038630869	UP
PIK3CD		1.92354802630898e-11	1.76397205228967e-09	0.306531852764182	UP
ADAM8		2.30268730452734e-10	1.44715040599911e-08	0.305840975567353	UP
SEMA4A		6.88489326933267e-06	8.90281090812844e-05	0.305595443624593	UP
LRCH4		2.4562701772314e-13	5.96608110345368e-11	0.305421340268406	UP
SHKBP1		5.79003904417498e-07	1.04698351891349e-05	0.305154015304645	UP
UBA7		1.15694954720239e-10	7.95727467911318e-09	0.304873911128917	UP
CLCN7		1.22229310534427e-10	8.27456738195328e-09	0.30436864764995	UP
MICAL1		3.01649506032935e-12	4.00629178923841e-10	0.302453474630044	UP
PSD4		8.71938805551899e-11	6.20272879590626e-09	0.301969793226462	UP
DGKQ		1.58570811382434e-11	1.51603817222758e-09	0.301725035131412	UP
TIMP1		3.89449297581815e-07	7.45968565709771e-06	0.299887579979519	UP
C17ORF62		2.48466161379099e-12	3.41780417190912e-10	0.299405210289979	UP
C10ORF54		1.5988273857707e-09	7.23254784358454e-08	0.298287497158555	UP
MYO1G		2.63193097863348e-09	1.10874204867089e-07	0.298274281990981	UP
PRF1		0.000402949425199476	0.00300523359690265	0.297459143267805	UP
LOC196752		1.19082184788426e-09	5.64327800491368e-08	0.297050175490194	UP
EML3		3.3979252172929e-11	2.80157375484508e-09	0.296726627482183	UP
ICAM3		1.36491854168355e-09	6.35571136482388e-08	0.296027484949564	UP
HDC		0.00088523819320159	0.00594948718221069	0.29525943008524	UP
KIAA0913		8.41408053344285e-13	1.56033624275779e-10	0.294741259339506	UP
ATG16L2		1.95893732084477e-07	4.11984504710875e-06	0.29358481740889	UP
FES		5.14277385259432e-08	1.32177622344895e-06	0.29294933867949	UP
NINJ2		0.000120630495382909	0.00106984170592718	0.292569027389993	UP
DYSF		0.000239822637476593	0.00192493543584592	0.290788408900781	UP
