Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Abnormality of the genital system	13/24	1.30537521833174e-13	2.50632041919695e-10	13	0.541666666666667	RPL5;RPL11;RPL35A;ETFA;RPS17;RPS27;RPS29;RPL35;RPL27;RPL15;RPL26;RPS10;RPS24
Abnormality of the reproductive system	13/24	1.30537521833174e-13	2.50632041919695e-10	13	0.541666666666667	RPL5;RPL11;RPL35A;ETFA;RPS17;RPS27;RPS29;RPL35;RPL27;RPL15;RPL26;RPS10;RPS24
Aase Smith syndrome 2	12/20	2.1658113383408e-13	2.77223851307622e-10	12	0.6	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35A;RPL35;RPL27;RPL15;RPL26;RPS10;RPS24
Abnormality of the urinary system	12/34	6.08281960506311e-10	5.83950682086058e-07	12	0.352941176470588	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL15;RPL26;RPS10;RPS24
Hand deformities	13/47	3.57079842179686e-09	2.74237318793999e-06	13	0.276595744680851	RPL5;RPL11;RPL35A;RPS17;RPS27;ZNHIT3;RPS29;RPL35;RPL27;RPL15;RPL26;RPS10;RPS24
Anemia, Macrocytic	12/41	7.04016498230216e-09	4.50570558867338e-06	12	0.292682926829268	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL15;RPL26;RPS10;RPS24
Pallor	13/57	4.54159324004892e-08	2.49138829168398e-05	13	0.228070175438596	RPL5;RPL11;RPL35A;SNX10;RPS17;RPS27;RPS29;RPL35;RPL27;RPL26;RPL15;RPS10;RPS24
Anemia, Diamond-Blackfan	14/70	8.1652796626546e-08	3.91933423807421e-05	14	0.2	RPL5;RPL31;RPL11;RPL35A;RPS17;RPS27;RPS29;RPL35;RPL27;RPL26;RPL15;RPS10;RPS21;RPS24
Radial club hand	11/59	4.15501641735781e-06	0.00177280700473933	11	0.186440677966102	RPL5;RPS17;SAMD9;RPS29;RPL11;PTEN;RPL35A;RPL26;RPL15;RPS10;RPS24
Abnormal heart beat	13/100	3.44388404728501e-05	0.012022286128704	13	0.13	RPL5;COX7B;RPL11;RPL35A;RPS17;RPS27;RPS29;RPL35;RPL27;RPL26;RPL15;RPS10;RPS24
ECG abnormality	13/100	3.44388404728501e-05	0.012022286128704	13	0.13	RPL5;COX7B;RPL11;RPL35A;RPS17;RPS27;RPS29;RPL35;RPL27;RPL26;RPL15;RPS10;RPS24
Cardiac conduction abnormality	13/102	4.25676586761427e-05	0.0136216507763657	13	0.127450980392157	RPL5;COX7B;RPL11;RPL35A;RPS17;RPS27;RPS29;RPL35;RPL27;RPL26;RPL15;RPS10;RPS24
Electrocardiogram abnormal	13/103	4.72247399107818e-05	0.0139494616351848	13	0.12621359223301	RPL5;COX7B;RPL11;RPL35A;RPS17;RPS27;RPS29;RPL35;RPL27;RPL26;RPL15;RPS10;RPS24
Electrocardiographic changes	13/104	5.23189767587463e-05	0.0143503479109704	13	0.125	RPL5;COX7B;RPL11;RPL35A;RPS17;RPS27;RPS29;RPL35;RPL27;RPL26;RPL15;RPS10;RPS24
Mitochondrial Diseases	29/384	5.77806083195689e-05	0.0147918357298096	29	0.0755208333333333	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;HSPD1;NFU1;MRPL3;CASP3;NDUFA8;NDUFA4;MRPS22;NDUFA1;SDHD;COX6C;COQ2;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;TMEM126A;NDUFAF2;UQCRC2;TMEM126B
Intermittent migraine headaches	12/95	9.09434291806683e-05	0.0218264230033604	12	0.126315789473684	RPL5;RPS17;RPS27;RPS29;RPL11;RPL35;RPL35A;RPL27;RPL26;RPL15;RPS10;RPS24
Progressive macrocephaly	6/25	0.000155116972000118	0.0350381866164973	6	0.24	NDUFB3;NDUFS4;PTEN;NDUFA1;NDUFAF2;TMEM126B
Abnormal mitochondria in muscle tissue	6/30	0.000449921882644011	0.0959833349640556	6	0.2	NDUFB3;NDUFS4;NDUFA1;NDUFAF2;SDHD;TMEM126B
Delayed Puberty	13/130	0.000499642625248001	0.100980404260649	13	0.1	RPL5;RPL11;RPL35A;RPS17;RPS27;VAMP7;RPS29;RPL35;RPL27;RPL26;RPL15;RPS10;RPS24
Cardiac Arrhythmia	13/132	0.000578398304535723	0.111052474470859	13	0.0984848484848485	RPL5;COX7B;RPL11;RPL35A;RPS17;RPS27;RPS29;RPL35;RPL27;RPL26;RPL15;RPS10;RPS24
Acute necrotizing encephalopathy	5/22	0.000733350121953106	0.130057467636811	5	0.227272727272727	NDUFB3;NDUFS4;NDUFA1;NDUFAF2;TMEM126B
Reticulocytopenia	4/13	0.000745120908335894	0.130057467636811	4	0.307692307692308	RPS17;RPL35A;RPL15;RPS24
Cytopenia	16/206	0.00190258918563979	0.309786093908862	16	0.0776699029126214	RPL5;SAMD9;RPL31;POLR3GL;RPL11;PTEN;RPL35A;RPL9;RPS17;RPS27;RPS29;RPL27;RPL26;RPL15;RPS10;RPS24
Increased mean corpuscular volume	3/8	0.00193616308693039	0.309786093908862	3	0.375	RPL5;RPL11;RPS24
Congenital anemia	16/208	0.00209902235769317	0.322409834141671	16	0.0769230769230769	RPL5;SAMD9;RPL31;POLR3GL;RPL11;PTEN;RPL35A;RPL9;RPS17;RPS27;RPS29;RPL27;RPL26;RPL15;RPS10;RPS24
HIV Coinfection	10/103	0.00268810986944898	0.397013149949388	10	0.0970873786407767	PSMA6;PSMD6;EMG1;HSP90AA1;HSPH1;PSMA4;NUP88;CLIC1;BIRC2;HSPD1
Cerebral Edema	6/42	0.00281312722315896	0.400089205071496	6	0.142857142857143	NDUFB3;NDUFS4;NDUFA1;NDUFAF2;ACADM;TMEM126B
NADH:Q(1) Oxidoreductase deficiency	5/32	0.00423607714052984	0.580947722129807	5	0.15625	NDUFB3;NDUFS4;NDUFA1;NDUFAF2;TMEM126B
MITOCHONDRIAL COMPLEX I DEFICIENCY	5/33	0.00485510311753648	0.642882619701382	5	0.151515151515152	NDUFB3;NDUFS4;NDUFA1;NDUFAF2;TMEM126B
MITOCHONDRIAL COMPLEX III DEFICIENCY (disorder)	3/11	0.00528485220445856	0.676461082170696	3	0.272727272727273	UQCRB;UQCRQ;UQCRC2
Mycobacterium Infections	9/98	0.00621190289894344	0.769474423611058	9	0.0918367346938776	TBK1;ANXA1;IFNGR1;CASP3;PTEN;PPBP;HSPE1;CAMP;HSPD1
Myotonia	3/12	0.006869782800683	0.82437393608196	3	0.25	HINT1;MBNL1;CNBP
Ubiquinone dehydrogenase deficiency	3/13	0.00870718746724772	0.999983383040401	3	0.230769230769231	UQCRB;UQCRQ;UQCRC2
Reperfusion Injury	9/110	0.0128378011337021	0.999983383040401	9	0.0818181818181818	HSPA8;CASP3;PTEN;NDUFB2;TXN;SAT1;EIF2A;NFE2L2;SOD1
Developmental reading disorder	3/15	0.0131694363405318	0.999983383040401	3	0.2	TMED10;PTGES3;TPT1
Hypoglycemia	15/232	0.013498397664462	0.999983383040401	15	0.0646551724137931	RPAIN;SAMD9;UQCRB;NDUFB3;PTEN;NDUFA1;ETFA;UQCRQ;NDUFS4;NDUFAF2;TFAM;UQCRC2;TMEM126B;ACADM;NFE2L2
Cellulitis	3/16	0.0158050713310028	0.999983383040401	3	0.1875	SLC35A1;NCF2;CAMP
Histiocytic Necrotizing Lymphadenitis	2/6	0.0158527310611993	0.999983383040401	2	0.333333333333333	CASP3;GBP1
Opsoclonus	2/6	0.0158527310611993	0.999983383040401	2	0.333333333333333	SNX10;NME1
Intermittent Claudication	4/29	0.0160904466073134	0.999983383040401	4	0.137931034482759	KLRB1;CASP3;EIF3E;ZMPSTE24
Multiple endocrine neoplasia Type 2	4/29	0.0160904466073134	0.999983383040401	4	0.137931034482759	PTEN;S100A12;ZNF22;SDHD
Vocal Cord Paralysis	3/17	0.0187150332778427	0.999983383040401	3	0.176470588235294	MATR3;SDHD;SOD1
Influenza	30/589	0.0189961485382696	0.999983383040401	30	0.0509337860780985	EIF4A2;SAMD9;KLRB1;TNFAIP6;GLRX;TXN;IFIT1;IFIT2;HSPD1;CASP3;TNFSF10;CASP1;KPNA4;GBP1;CAMP;CD55;HSPA8;IFNGR1;API5;GZMA;SH2D1A;IFI44;PPBP;RAB11A;SOD1;CLK1;AIM2;CMPK1;XIST;S100A8
Brain Edema	6/63	0.020047053695539	0.999983383040401	6	0.0952380952380952	NDUFS4;NDUFB3;NDUFA1;NDUFAF2;ACADM;TMEM126B
Pallor of optic disc	6/63	0.020047053695539	0.999983383040401	6	0.0952380952380952	NDUFS4;NDUFB3;TMEM126A;NDUFA1;NDUFAF2;TMEM126B
Scrapie	2/7	0.0216972602171309	0.999983383040401	2	0.285714285714286	SSBP1;SOD1
Abnormal subcutaneous fat tissue distribution	2/7	0.0216972602171309	0.999983383040401	2	0.285714285714286	PTEN;ATP6V1E1
Pure Autonomic Failure	2/7	0.0216972602171309	0.999983383040401	2	0.285714285714286	COQ2;SOD1
Anaplastic carcinoma	13/204	0.0228149667977678	0.999983383040401	13	0.0637254901960784	ANXA1;H3F3B;PTEN;LY96;DBI;RPL6;NME1;VAMP8;EEF1A1;PSMA4;TNFSF10;S100A6;TMSB10
