Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
RNA binding (GO:0003723)	123/1406	1.0000400942621e-22	3.9101567685648e-20	123	0.0874822190611664	RPL4;EIF4A2;RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;IFIT1;SRP14;RPL9;RPL6;RPL7;IFIT2;PPP1CC;RPS17;SNRPD2;RPS18;MAGOH;RPL35;RPL39;RPS10;RPS13;EIF2A;MBNL1;RPL21;RPL23;NGDN;WDR75;EEF1A1;CLNS1A;SUB1;UNC50;SNRPG;RPL24;TFAM;RPL27;ERH;MATR3;RPL26;SNRPF;PPIG;ZCCHC7;DDX1;TXN;MRPL13;ZFP36L1;EMG1;PRDX1;ZC3H15;BTF3;HSPA8;RPL41;ZRANB2;API5;LSM1;LARP7;CWC15;TBCA;LSM5;LSM3;MRPL22;RPS25;LSM7;RPS27;UBE2N;RPS20;RPS21;LSM14A;RPS24;RBM25;DDX3X;GDI2;HMGB2;PSIP1;ZCCHC17;MRPL32;RPS4X;MRPL3;DHX15;SEC61B;HSP90AA1;ZFR;MRPS21;RPS3A;GNL2;SRP9;GNL3;NME1;PSMA6;SYF2;RPL37A;FRG1;DCP2;HDAC2;RPL12;USO1;RPL11;WBP4;MRPS31;RPS27L;HSPD1;BCLAF1;RPS15A;FAM120A;RPL15;RPS27A;RPL17;UTP6;SSB;CNBP;CCDC59;RPL35A;NAP1L1;DEK;HSPE1;RSL1D1;CEBPZ;EIF3E;SSBP1;TPT1;RPL26L1;METAP2
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	12/58	4.67741551406657e-07	9.14434733000015e-05	12	0.206896551724138	NDUFA8;NDUFB6;NDUFB5;NDUFA4;UQCRQ;NDUFS5;NDUFS4;NDUFB3;NDUFB2;NDUFA1;COX6A1;UQCRH
mRNA 5'-UTR binding (GO:0048027)	8/25	1.12197415771483e-06	0.000145598441052244	8	0.32	RPL5;RSL1D1;RPL41;DDX3X;RPS3A;RPL26;RPS13;GNL3
NADH dehydrogenase (quinone) activity (GO:0050136)	9/35	1.8618726477269e-06	0.000145598441052244	9	0.257142857142857	NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFS5;NDUFB3;NDUFS4;NDUFB2;NDUFA1
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	9/35	1.8618726477269e-06	0.000145598441052244	9	0.257142857142857	NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFS5;NDUFB3;NDUFS4;NDUFB2;NDUFA1
ubiquitin ligase inhibitor activity (GO:1990948)	4/8	8.36036706251809e-05	0.00544817253574095	4	0.5	RPL5;RPL23;RPL11;RPS20
ubiquitin-protein transferase inhibitor activity (GO:0055105)	4/9	0.000146429714716591	0.00817914549345532	4	0.444444444444444	RPL5;RPL23;RPL11;RPS20
rRNA binding (GO:0019843)	7/42	0.000491356929785517	0.0240150699432671	7	0.166666666666667	RPL5;EMG1;RPL12;RPL23;RPL11;RPS13;MRPS18C
cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	4/15	0.00134731252919445	0.0585332443238924	4	0.266666666666667	CASP3;CASP4;CASP1;CLC
cadherin binding (GO:0045296)	22/322	0.00162886519944695	0.0636886292983758	22	0.0683229813664596	HSPA8;ANXA1;DDX3X;RPL34;USO1;RPL6;RAB10;PCMT1;RSL1D1;SNX2;PRDX1;GLOD4;RPL24;EIF3E;S100P;RPL15;ARGLU1;CLIC1;ZC3H15;EIF2A;NCK1;CHMP5
