Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Lysosomal Storage Diseases	9/79	3.9445360527796e-05	0.112712474079441	9	0.113924050632911	CTSA;CLCN7;CLN3;GRN;GAA;GBA;TPP1;MCOLN1;CTSB
Epistaxis	7/51	8.67463884654498e-05	0.112712474079441	7	0.137254901960784	GP9;P2RX1;ITGA2B;GBA;TBXAS1;MYH9;NBEAL2
Frequent nosebleeds	7/51	8.67463884654498e-05	0.112712474079441	7	0.137254901960784	GP9;P2RX1;ITGA2B;GBA;TBXAS1;MYH9;NBEAL2
Dysmetric saccades	4/13	0.000115783198140281	0.112830726587704	4	0.307692307692308	ATXN2;MFN2;TPP1;EEF2
Primary immune deficiency disorder	8/81	0.00028903914204436	0.140753825655304	8	0.0987654320987654	NXF1;CSF3R;ITGB2;MKL1;STXBP2;PRF1;PIK3CD;TYK2
Ki-1+ Anaplastic Large Cell Lymphoma	14/228	0.000333136948858496	0.140753825655304	14	0.0614035087719298	CSF1R;NOTCH1;PRF1;PIK3CD;FOXO3;ZAP70;ANPEP;BSG;MYH9;E2F2;PTPN6;TIMP1;SLC12A9;BCL2L1
Primary Effusion Lymphoma	11/153	0.000382490226019868	0.140753825655304	11	0.0718954248366013	NOTCH1;SELPLG;TRIM28;ATP6AP1;IRF3;BSG;PTPN6;IKZF1;CTSD;RENBP;SLC12A9
Increased tendency to bruise	8/85	0.000402263959637457	0.140753825655304	8	0.0941176470588235	NFIX;P2RX1;ITGA2B;GBA;TBXAS1;MYH9;NBEAL2;PLOD1
Atrophy/Degeneration affecting the brainstem	4/18	0.000456109025125286	0.140753825655304	4	0.222222222222222	ATXN2;TBCD;MCOLN1;SPTAN1
Pleocytosis	4/18	0.000456109025125286	0.140753825655304	4	0.222222222222222	CSF3R;ITGAM;ITGB2;PRF1
Increased mean platelet volume	3/8	0.000469420147131593	0.140753825655304	3	0.375	GP9;ACTN1;MYH9
Increased neuronal autofluorescent lipopigment	3/8	0.000469420147131593	0.140753825655304	3	0.375	CLN3;TPP1;CTSD
Neuronal lipopigments	3/8	0.000469420147131593	0.140753825655304	3	0.375	CLN3;TPP1;CTSD
Neuronal loss in central nervous system	5/33	0.000570299287298188	0.146792437089092	5	0.151515151515152	CSF1R;GRN;TBCD;CTSD;POLG
Amyotrophic Lateral Sclerosis, Sporadic	10/136	0.000585402185283623	0.146792437089092	10	0.0735294117647059	SRRM2;CST3;ATXN2;GRN;SELPLG;RXRA;BSG;CD7;CTSD;BCL2L1
Familial Alzheimer Disease (FAD)	12/188	0.000619701934774558	0.146792437089092	12	0.0638297872340425	CST3;G6PD;NCSTN;NOTCH1;NFIX;PIK3CD;ITPR3;ABCA7;TPP1;CTSD;SORL1;CTSB
Prolonged bleeding time	5/34	0.000657274333749252	0.146792437089092	5	0.147058823529412	GP9;ITGA2B;TBXAS1;MYH9;NBEAL2
Schwannomatosis	3/9	0.000693228406868314	0.146792437089092	3	0.333333333333333	LZTR1;MED16;CABIN1
Splenomegaly	14/247	0.000738506045347684	0.146792437089092	14	0.0566801619433198	GPI;NOTCH1;ATP6AP1;CD81;GAA;GBA;PRF1;PIK3CD;NBEAL2;TCIRG1;GNS;CLCN7;ZAP70;ALDOA
Cerebellar degeneration	12/193	0.000781124572816791	0.146792437089092	12	0.0621761658031088	GRN;ATXN2;TBCD;TPP1;ARHGEF2;PNPLA6;EEF2;MCOLN1;CTSD;SPTAN1;NDUFV1;POLG
AMYOTROPHIC LATERAL SCLEROSIS 1	8/94	0.000790826367078227	0.146792437089092	8	0.0851063829787234	CST3;GPX1;SELPLG;RXRA;BSG;CD7;CTSD;BCL2L1
Acute Erythroblastic Leukemia	13/224	0.00091007705244302	0.154238276105343	13	0.0580357142857143	NFE2;CSF1R;G6PD;NOTCH1;FLII;ITGA2B;INPPL1;PIK3CD;ELF4;CARM1;HBQ1;SPTAN1;SLC12A9
Blood basophil count (lab test)	13/224	0.00091007705244302	0.154238276105343	13	0.0580357142857143	HIP1;CSF3R;ABCA7;IKZF1;LPP;APBB1IP;ATXN2;ZYX;FAM53B;E2F2;D2HGDH;MAP3K11;MYO1G
Progressive gait ataxia	3/10	0.00097500889531654	0.158357694747661	3	0.3	TPP1;EEF2;POLG
Acute Megakaryocytic Leukemias	9/122	0.00106470247838673	0.166008410430059	9	0.0737704918032787	CSF1R;G6PD;ITGAM;ANPEP;SRF;ITGA2B;MKL1;ITGAL;BCL2L1
Menorrhagia	4/23	0.00121525915994721	0.182195392518239	4	0.173913043478261	GP9;ITGA2B;MYH9;NBEAL2
Neoplasm Metastasis	107/3920	0.00148078437612657	0.211068483803165	107	0.0272959183673469	CSF3R;CD81;ITGA2B;PRF1;INPPL1;PLOD1;CAPNS1;LAMP1;TRIM28;ANPEP;BSG;SBF1;CDK5RAP3;SLC12A9;PIAS4;SRRM2;SH3GLB2;G6PD;APLP2;PTOV1;ACTN4;RUNX3;SND1;ADAM8;ULK1;PADI4;TLN1;OSBP2;CSF1R;NOTCH1;TUBGCP2;FLII;UBR4;PIK3R2;FOXO3;SLC9A1;RHBDD2;TRPV2;NBEAL2;HELZ;EEF2;SUPT5H;SLC6A8;GNL3L;FES;FASN;TBXAS1;TPP1;CCDC130;MAP3K11;BCL2L1;GPI;ITGAM;HIP1;CHD8;ITGB2;ARHGAP1;PIK3CD;GUK1;FLOT2;SH3BGRL3;TIMP1;SPTAN1;CTSD;CTSB;GPX1;TESC;MKL1;TYK2;IL17RA;TAPBP;ACTA2;TGFBR3;SLC7A5;ZAP70;PITPNM1;IRF3;MYH9;ITGA5;ARHGEF2;ALDOA;ATP6V0C;GRN;SELPLG;SRF;FURIN;CST3;NXF1;SERTAD1;TIAF1;UCP2;MFN2;E2F2;CSK;WASF2;RBM38;FOXJ2;MYO9B;ARID3A;MIAT;KLF6;RYBP;CARM1;ZYX;PTPN6;SIPA1;PNPLA2
Congenital leukocyte adherence deficiency	3/12	0.00173273255046211	0.211068483803165	3	0.25	ITGAM;ITGB2;ITGAL
Elevated immunoglobulin levels	3/12	0.00173273255046211	0.211068483803165	3	0.25	PSTPIP1;GBA;TMEM173
Globulin gamma serum plasma increased result	3/12	0.00173273255046211	0.211068483803165	3	0.25	PSTPIP1;GBA;TMEM173
Hyperglobulinemia	3/12	0.00173273255046211	0.211068483803165	3	0.25	PSTPIP1;GBA;TMEM173
Increased antibody level in blood	3/12	0.00173273255046211	0.211068483803165	3	0.25	PSTPIP1;GBA;TMEM173
Severe Aplastic Anemia	4/26	0.00195282350832631	0.222854460651326	4	0.153846153846154	ZAP70;CSF3R;NOTCH1;PRF1
Cerebral Amyloid Angiopathy, Hereditary	3/13	0.00221781976884223	0.222854460651326	3	0.230769230769231	CST3;ITGAX;CTSD
Benign symmetrical lipomatosis	3/13	0.00221781976884223	0.222854460651326	3	0.230769230769231	PIK3CD;MFN2;PNPLA6
Nonspherocytic hemolytic anemia	3/13	0.00221781976884223	0.222854460651326	3	0.230769230769231	GPI;G6PD;ALDOA
Pimples	3/13	0.00221781976884223	0.222854460651326	3	0.230769230769231	PSTPIP1;TMC6;TMEM173
pustule	3/13	0.00221781976884223	0.222854460651326	3	0.230769230769231	PSTPIP1;TMC6;TMEM173
Cerebellar atrophy	11/190	0.00225008467752805	0.222854460651326	11	0.0578947368421053	ATXN2;GRN;TBCD;TPP1;PNPLA6;EEF2;MCOLN1;NDUFV1;CTSD;SPTAN1;POLG
Hepatomegaly	17/373	0.00233097569066066	0.222854460651326	17	0.0455764075067024	ACADVL;ATP6AP1;GAA;HDC;GBA;PRF1;TCIRG1;PHKA2;GNS;CLCN7;ZAP70;UCP2;MFN2;SKIV2L;LZTR1;PNPLA2;POLG
Platelet Count measurement	11/191	0.0023440310124947	0.222854460651326	11	0.0575916230366492	ATXN2;ACTN1;NINJ2;ITGA2B;GPR137;MFN2;MYO9B;PLOD1;TYK2;SIPA1;BCL2L1
