Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
neutrophil degranulation (GO:0043312)	37/481	9.68309349503647e-12	1.04924475854341e-08	37	0.0769230769230769	GPI;GRN;ITGAM;ITGB2;STXBP2;UBR4;TCIRG1;ITGAL;GNS;CST3;STK10;HK3;NCSTN;MMP25;LAMP1;ANPEP;ITGAX;TBC1D10C;SLC15A4;SPTAN1;CTSD;ATP6V0A1;CTSB;CTSA;STK11IP;SLC11A1;GAA;RHOG;NBEAL2;TMC6;EEF2;OSCAR;P2RX1;ADAM8;PTPN6;ALDOA;ATP6V0C
neutrophil activation involved in immune response (GO:0002283)	37/485	1.23384102841565e-11	1.04924475854341e-08	37	0.0762886597938144	GPI;GRN;ITGAM;ITGB2;STXBP2;UBR4;TCIRG1;ITGAL;GNS;CST3;STK10;HK3;NCSTN;MMP25;LAMP1;ANPEP;ITGAX;TBC1D10C;SLC15A4;SPTAN1;CTSD;ATP6V0A1;CTSB;CTSA;STK11IP;SLC11A1;GAA;RHOG;NBEAL2;TMC6;EEF2;OSCAR;P2RX1;ADAM8;PTPN6;ALDOA;ATP6V0C
neutrophil mediated immunity (GO:0002446)	37/488	1.47711603736755e-11	1.04924475854341e-08	37	0.0758196721311475	GPI;GRN;ITGAM;ITGB2;STXBP2;UBR4;TCIRG1;ITGAL;GNS;CST3;STK10;HK3;NCSTN;MMP25;LAMP1;ANPEP;ITGAX;TBC1D10C;SLC15A4;SPTAN1;CTSD;ATP6V0A1;CTSB;CTSA;STK11IP;SLC11A1;GAA;RHOG;NBEAL2;TMC6;EEF2;OSCAR;P2RX1;ADAM8;PTPN6;ALDOA;ATP6V0C
vacuolar acidification (GO:0007035)	6/21	3.34360570956053e-06	0.00178130594176837	6	0.285714285714286	CLN3;GRN;SLC11A1;TCIRG1;ATP6V0D1;ATP6V0A1
transferrin transport (GO:0033572)	7/36	8.1903225395939e-06	0.00301008381378667	7	0.194444444444444	ATP6AP1;ARHGAP1;TCIRG1;MCOLN1;ATP6V0D1;ATP6V0C;ATP6V0A1
iron ion transport (GO:0006826)	8/50	8.47513040015018e-06	0.00301008381378667	8	0.16	ATP6AP1;SLC11A1;ARHGAP1;TCIRG1;ATP6V0D1;MCOLN1;ATP6V0C;ATP6V0A1
protein localization to membrane (GO:0072657)	15/195	1.59071010016842e-05	0.00484257603351272	15	0.0769230769230769	CD81;TESC;SEC16A;ITGB2;ITGAL;TSPAN32;EHD1;GAK;RAB40C;PACS1;HGS;BSG;MYADM;FLOT2;ITGB7
IRE1-mediated unfolded protein response (GO:0036498)	7/53	0.000111425716963531	0.0296810253561605	7	0.132075471698113	ACADVL;PLA2G4B;CXXC1;TPP1;ATP6V0D1;TLN1;EXTL3
protein localization to plasma membrane (GO:0072659)	11/136	0.000136895030437884	0.0311680612569345	11	0.0808823529411765	EHD1;GAK;RAB40C;CD81;PACS1;SEC16A;TESC;BSG;MYADM;FLOT2;TSPAN32
vesicle cytoskeletal trafficking (GO:0099518)	6/39	0.000146260259300491	0.0311680612569345	6	0.153846153846154	CLN3;F8A1;NDE1;ACTN4;MYO1F;MYO1G
protein localization to cell periphery (GO:1990778)	11/140	0.000176969492736822	0.0342838171838334	11	0.0785714285714286	EHD1;GAK;RAB40C;CD81;PACS1;SEC16A;TESC;BSG;MYADM;FLOT2;TSPAN32
membrane raft organization (GO:0031579)	4/15	0.000213825976084421	0.0379719295863251	4	0.266666666666667	CLN3;MYADM;FLOT2;ABCA7
definitive hemopoiesis (GO:0060216)	3/7	0.000298006114626158	0.0453607878763102	3	0.428571428571429	TGFBR3;LYL1;CDK5RAP3
late nucleophagy (GO:0044805)	3/7	0.000298006114626158	0.0453607878763102	3	0.428571428571429	ATG9A;ATG2A;ULK1
lytic vacuole organization (GO:0080171)	5/33	0.000570299287298188	0.0810205187488292	5	0.151515151515152	CLN3;GRN;GAA;GBA;TPP1
extracellular matrix organization (GO:0030198)	16/300	0.000616365244000657	0.0820921459353375	16	0.0533333333333333	ITGAM;ITGA2B;ITGB2;ICAM3;FURIN;PLOD1;ITGAL;MMP25;CAPNS1;SPOCK2;BSG;ITGAX;ADAM8;ITGB7;TIMP1;ITGA5
intracellular pH reduction (GO:0051452)	5/35	0.000753807160079915	0.0944919445958999	5	0.142857142857143	SLC11A1;TCIRG1;ATP6V0D1;ATP6V0C;ATP6V0A1
protein maturation (GO:0051604)	8/97	0.000972643969606331	0.109705379924359	8	0.0824742268041237	CLN3;NCSTN;TESC;FURIN;PCSK7;SORL1;LMF2;TSPAN32
phagosome maturation (GO:0090382)	5/37	0.000978133373328399	0.109705379924359	5	0.135135135135135	TCIRG1;MCOLN1;ATP6V0D1;ATP6V0C;ATP6V0A1
lysosome organization (GO:0007040)	5/38	0.0011072514006507	0.117977636739332	5	0.131578947368421	CLN3;GRN;GAA;GBA;TPP1
regulation of endocytic recycling (GO:2001135)	3/11	0.00131992276406645	0.127529508984682	3	0.272727272727273	EHD1;ARHGAP1;SORL1
Golgi to lysosome transport (GO:0090160)	3/11	0.00131992276406645	0.127529508984682	3	0.272727272727273	GAK;CLN3;LAMP1
actin filament organization (GO:0007015)	10/152	0.00137643299232646	0.127529508984682	10	0.0657894736842105	HIP1;ACTN1;FLII;INPPL1;RHOG;CORO7;ARHGEF2;ALDOA;MYO1F;MYO1G
extracellular structure organization (GO:0043062)	12/216	0.00204444088716102	0.175043478792696	12	0.0555555555555556	MMP25;ITGAM;SPOCK2;BSG;ITGA2B;ITGB2;ITGAX;ICAM3;ITGB7;FURIN;ITGA5;ITGAL
external encapsulating structure organization (GO:0045229)	12/217	0.00212440216505673	0.175043478792696	12	0.0552995391705069	MMP25;ITGAM;SPOCK2;BSG;ITGA2B;ITGB2;ITGAX;ICAM3;ITGB7;FURIN;ITGA5;ITGAL
regulation of protein exit from endoplasmic reticulum (GO:0070861)	3/13	0.00221781976884223	0.175043478792696	3	0.230769230769231	CD81;SEC16A;SORL1
positive regulation of protein exit from endoplasmic reticulum (GO:0070863)	3/13	0.00221781976884223	0.175043478792696	3	0.230769230769231	CD81;SEC16A;SORL1
