Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	4/16	0.000280414657224349	0.0552416874731967	4	0.25	TCIRG1;ATP6V0D1;ATP6V0C;ATP6V0A1
proton-transporting ATPase activity, rotational mechanism (GO:0046961)	4/16	0.000280414657224349	0.0552416874731967	4	0.25	TCIRG1;ATP6V0D1;ATP6V0C;ATP6V0A1
pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678)	4/23	0.00121525915994721	0.159604036339733	4	0.173913043478261	TCIRG1;ATP6V0D1;ATP6V0C;ATP6V0A1
small GTPase binding (GO:0031267)	10/175	0.0038513179380524	0.235235232737067	10	0.0571428571428571	EHD1;FGD3;ATP6AP1;SGSM2;ARHGAP1;ULK1;MYO9B;ARHGEF2;LZTR1;SORL1
solute:proton antiporter activity (GO:0015299)	2/5	0.00417930616537937	0.235235232737067	2	0.4	SLC11A1;SLC9A1
complement component C3b binding (GO:0001851)	2/5	0.00417930616537937	0.235235232737067	2	0.4	ITGAM;ITGB2
oligopeptide transmembrane transporter activity (GO:0035673)	2/5	0.00417930616537937	0.235235232737067	2	0.4	SLC15A3;SLC15A4
sulfatide binding (GO:0120146)	2/6	0.00618248257227251	0.28815669968951	2	0.333333333333333	CLN3;TPP1
amyloid-beta binding (GO:0001540)	6/80	0.00658225963757763	0.28815669968951	6	0.075	CST3;ITGAM;CLSTN1;ITGB2;APBB3;SORL1
serine-type exopeptidase activity (GO:0070008)	2/7	0.00853628297255458	0.33632954911865	2	0.285714285714286	CTSA;TPP1
GTPase binding (GO:0051020)	10/201	0.00992509311793991	0.340211337612168	10	0.0497512437810945	EHD1;FGD3;ATP6AP1;SGSM2;ARHGAP1;ULK1;MYO9B;ARHGEF2;LZTR1;SORL1
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	3/22	0.0103912629697768	0.340211337612168	3	0.136363636363636	DUSP18;SBF1;PPM1F
iron ion transmembrane transporter activity (GO:0005381)	2/8	0.0112252471800969	0.340211337612168	2	0.25	SLC25A37;SLC11A1
actin binding (GO:0003779)	9/177	0.0123392595516322	0.347262018810221	9	0.0508474576271186	MAP1S;FLII;MICAL1;MYH9;MYO9B;ACTN4;CORO7;ALDOA;MYO1F
aromatic amino acid transmembrane transporter activity (GO:0015173)	2/9	0.0142344053666013	0.373890380962728	2	0.222222222222222	SLC7A5;SLC15A4
vinculin binding (GO:0017166)	2/11	0.0211557946090647	0.437599744041174	2	0.181818181818182	ACTN1;TLN1
intracellular ligand-gated ion channel activity (GO:0005217)	2/11	0.0211557946090647	0.437599744041174	2	0.181818181818182	ITPR3;MCOLN1
L-amino acid transmembrane transporter activity (GO:0015179)	4/53	0.0246427204754685	0.437599744041174	4	0.0754716981132075	SLC7A5;SLC38A1;SLC43A2;SLC15A4
nuclear receptor coactivator activity (GO:0030374)	4/53	0.0246427204754685	0.437599744041174	4	0.0754716981132075	ACTN1;CARM1;ACTN4;ATXN7L3
GTPase activator activity (GO:0005096)	13/336	0.025117969684762	0.437599744041174	13	0.0386904761904762	DENND1C;ARHGAP1;TBCD;RAB3IL1;MYO9B;FGD3;SGSM2;TBC1D10C;RAPGEF1;NUCB1;ARHGEF2;SBF1;SIPA1
neutral amino acid transmembrane transporter activity (GO:0015175)	3/32	0.0287216970011668	0.437599744041174	3	0.09375	SLC7A5;SLC38A1;SLC43A2
vitamin D receptor binding (GO:0042809)	2/14	0.0335917965070921	0.437599744041174	2	0.142857142857143	RXRA;MED16
metal ion:proton antiporter activity (GO:0051139)	2/14	0.0335917965070921	0.437599744041174	2	0.142857142857143	SLC11A1;SLC9A1
metalloendopeptidase inhibitor activity (GO:0008191)	2/14	0.0335917965070921	0.437599744041174	2	0.142857142857143	SPOCK2;TIMP1
endopeptidase inhibitor activity (GO:0004866)	6/115	0.0337933364258827	0.437599744041174	6	0.0521739130434783	CST3;SPOCK2;UBE2O;FURIN;TIMP1;RENBP
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	3/35	0.0362127277014384	0.437599744041174	3	0.0857142857142857	ZAP70;FES;CSK
sterol binding (GO:0032934)	4/60	0.0366729418616503	0.437599744041174	4	0.0666666666666667	OSBPL5;CD81;SCAP;OSBP2
guanyl-nucleotide exchange factor activity (GO:0005085)	7/149	0.0372924996297842	0.437599744041174	7	0.0469798657718121	DENND1C;FGD3;RAPGEF1;NUCB1;RAB3IL1;ARHGEF2;SBF1
clathrin adaptor activity (GO:0035615)	2/15	0.0382335360126823	0.437599744041174	2	0.133333333333333	HIP1;AP1G2
cadherin binding (GO:0045296)	12/322	0.0390542360141932	0.437599744041174	12	0.0372670807453416	EHD1;SH3GLB2;FASN;BSG;ARHGAP1;MYH9;TLN1;ALDOA;EEF2;SPTAN1;WASF2;SND1
phosphotyrosine residue binding (GO:0001784)	3/37	0.041708725145271	0.437599744041174	3	0.0810810810810811	ZAP70;PIK3R2;PTPN6
phosphatidylinositol binding (GO:0035091)	5/92	0.0437393803459587	0.437599744041174	5	0.0543478260869565	DENND1C;HIP1;PITPNM1;FES;ITPR3
calcium-release channel activity (GO:0015278)	2/17	0.0481896008193924	0.437599744041174	2	0.117647058823529	ITPR3;MCOLN1
