Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Lysosome	17/128	1.47737584710741e-09	3.59002330847102e-07	17	0.1328125	CTSA;ATP6AP1;SLC11A1;GAA;GBA;TCIRG1;MCOLN1;GNS;CLN3;LAMP1;AP1G2;TPP1;ATP6V0D1;CTSD;ATP6V0C;ATP6V0A1;CTSB
Regulation of actin cytoskeleton	16/218	1.50240051660493e-05	0.00182541662767498	16	0.073394495412844	ITGAM;ACTN1;ITGA2B;ITGB2;PIK3CD;PIK3R2;ACTN4;ITGAL;SLC9A1;FGD3;ITGAX;MYH9;ITGB7;PIP5K1C;ITGA5;WASF2
Platelet activation	11/124	5.94304258981053e-05	0.0039627782398361	11	0.0887096774193548	APBB1IP;GP9;PLA2G4B;P2RX1;ITGA2B;TBXAS1;PIK3CD;ITPR3;PIK3R2;TLN1;PLCB2
Shigellosis	16/246	6.52309175281662e-05	0.0039627782398361	16	0.0650406504065041	RNF31;ACTN1;PIK3CD;PIK3R2;ITPR3;ACTN4;FOXO3;HK3;CAPNS1;IRF3;ARHGEF2;ITGA5;TLN1;PLCB2;WASF2;BCL2L1
Rap1 signaling pathway	14/210	0.000142571093477211	0.00692895514299245	14	0.0666666666666667	MAP2K3;CSF1R;ITGAM;ITGA2B;ITGB2;PIK3CD;PIK3R2;ITGAL;APBB1IP;RAPGEF1;TLN1;RALGDS;PLCB2;SIPA1
Phagosome	11/152	0.000361629814391348	0.0146460074828496	11	0.0723684210526316	SEC61A1;ITGAM;LAMP1;ATP6AP1;HGS;ITGB2;TCIRG1;ITGA5;ATP6V0D1;ATP6V0C;ATP6V0A1
Vibrio cholerae infection	6/50	0.000587137019225461	0.0188322712687233	6	0.12	SEC61A1;ATP6AP1;TCIRG1;ATP6V0D1;ATP6V0C;ATP6V0A1
Autophagy	10/137	0.000619992469752207	0.0188322712687233	10	0.072992700729927	LAMP1;ATG16L2;ATG9A;ATG2A;PIK3CD;ULK1;PIK3R2;CTSD;BCL2L1;CTSB
Phosphatidylinositol signaling system	8/97	0.000972643969606331	0.0245520344683394	8	0.0824742268041237	ITPKB;DGKQ;INPPL1;PIK3CD;ITPR3;PIK3R2;PIP5K1C;PLCB2
Choline metabolism in cancer	8/98	0.00104017813142701	0.0245520344683394	8	0.0816326530612245	CHKB;DGKQ;PLA2G4B;PIK3CD;PIK3R2;PIP5K1C;RALGDS;WASF2
