GeneSymbol	set	direction
ANKRD41	AD_MCI	DOWN
GOLM1	AD_MCI	DOWN
LOC552891	AD_MCI	DOWN
AGL	AD_MCI	DOWN
YIPF5	AD_MCI	DOWN
PLK4	AD_MCI	DOWN
KIAA1107	AD_MCI	DOWN
TMOD3	AD_MCI	DOWN
HS.551074	AD_MCI	DOWN
C4ORF32	AD_MCI	DOWN
ECHDC1	AD_MCI	DOWN
TRAPPC6B	AD_MCI	DOWN
HS.460758	AD_MCI	DOWN
C14ORF143	AD_MCI	DOWN
HS.573541	AD_MCI	DOWN
ATP5S	AD_MCI	DOWN
RNPC3	AD_MCI	DOWN
FAM13A1	AD_MCI	DOWN
OTUD6B	AD_MCI	DOWN
EFHC2	AD_MCI	DOWN
RAP1B	AD_MCI	DOWN
FAS	AD_MCI	DOWN
PTP4A1	AD_MCI	DOWN
PDSS1	AD_MCI	DOWN
EIF1AX	AD_MCI	DOWN
NETO2	AD_MCI	DOWN
FBXL3	AD_MCI	DOWN
IDE	AD_MCI	DOWN
VAMP4	AD_MCI	DOWN
APOL6	AD_MCI	DOWN
ZNF33A	AD_MCI	DOWN
PPP3CA	AD_MCI	DOWN
OTUD1	AD_MCI	DOWN
C5ORF24	AD_MCI	DOWN
FNDC3A	AD_MCI	DOWN
SPOPL	AD_MCI	DOWN
PAQR3	AD_MCI	DOWN
HS.547551	AD_MCI	DOWN
CKS2	AD_MCI	DOWN
FAM18B	AD_MCI	DOWN
HS.445365	AD_MCI	DOWN
MARCH1	AD_MCI	DOWN
HS.478682	AD_MCI	DOWN
ARFIP1	AD_MCI	DOWN
SMC4	AD_MCI	DOWN
COP1	AD_MCI	DOWN
C10ORF118	AD_MCI	DOWN
APPBP2	AD_MCI	DOWN
TMEM93	AD_MCI	DOWN
WRB	AD_MCI	DOWN
SLC39A10	AD_MCI	DOWN
BTBD1	AD_MCI	DOWN
NEDD9	AD_MCI	DOWN
LOC646943	AD_MCI	DOWN
RRM2B	AD_MCI	DOWN
CLEC4D	AD_MCI	DOWN
PDIK1L	AD_MCI	DOWN
COPS8	AD_MCI	DOWN
MPZL2	AD_MCI	DOWN
MKKS	AD_MCI	DOWN
FAM14A	AD_MCI	DOWN
RAB18	AD_MCI	DOWN
PIGH	AD_MCI	DOWN
CPNE8	AD_MCI	DOWN
ORC3L	AD_MCI	DOWN
CASC4	AD_MCI	DOWN
CAPZA1	AD_MCI	DOWN
MAD2L1BP	AD_MCI	DOWN
PDS5B	AD_MCI	DOWN
ADAM10	AD_MCI	DOWN
ACN9	AD_MCI	DOWN
SNX13	AD_MCI	DOWN
ALCAM	AD_MCI	DOWN
SEC24D	AD_MCI	DOWN
TMEM165	AD_MCI	DOWN
SMAD5	AD_MCI	DOWN
TMEM106B	AD_MCI	DOWN
NDFIP1	AD_MCI	DOWN
AKAP11	AD_MCI	DOWN
WTAP	AD_MCI	DOWN
RNF141	AD_MCI	DOWN
USP9X	AD_MCI	DOWN
PIGK	AD_MCI	DOWN
NBN	AD_MCI	DOWN
AZI2	AD_MCI	DOWN
ARPP-19	AD_MCI	DOWN
IMPA1	AD_MCI	DOWN
ZFAND6	AD_MCI	DOWN
XPR1	AD_MCI	DOWN
SERP1	AD_MCI	DOWN
CGRRF1	AD_MCI	DOWN
DICER1	AD_MCI	DOWN
CCNG2	AD_MCI	DOWN
NIN	AD_MCI	DOWN
EXOSC3	AD_MCI	DOWN
C14ORF108	AD_MCI	DOWN
TGFA	AD_MCI	DOWN
ZFX	AD_MCI	DOWN
PHF20L1	AD_MCI	DOWN
ELF2	AD_MCI	DOWN
MEX3C	AD_MCI	DOWN
NUFIP2	AD_MCI	DOWN
HS.125056	AD_MCI	DOWN
P15RS	AD_MCI	DOWN
HS.103173	AD_MCI	DOWN
IFRD1	AD_MCI	DOWN
CCDC128	AD_MCI	DOWN
LOC644799	AD_MCI	DOWN
CD69	AD_MCI	DOWN
ZNF271	AD_MCI	DOWN
MS4A3	AD_MCI	DOWN
PPP1R3D	AD_MCI	DOWN
MIER1	AD_MCI	DOWN
C9ORF72	AD_MCI	DOWN
SENP7	AD_MCI	DOWN
RAB33B	AD_MCI	DOWN
SNORA25	AD_MCI	DOWN
POLR2C	AD_MCI	DOWN
UBA3	AD_MCI	DOWN
PGM2	AD_MCI	DOWN
TSNAX	AD_MCI	DOWN
C2ORF47	AD_MCI	DOWN
PRKAA1	AD_MCI	DOWN
UBA6	AD_MCI	DOWN
ZNF518A	AD_MCI	DOWN
CLIP1	AD_MCI	DOWN
G3BP2	AD_MCI	DOWN
RAP2C	AD_MCI	DOWN
CLK4	AD_MCI	DOWN
FAM152A	AD_MCI	DOWN
HS.24119	AD_MCI	DOWN
CNOT8	AD_MCI	DOWN
PHF5A	AD_MCI	DOWN
BRP44L	AD_MCI	DOWN
SLK	AD_MCI	DOWN
C9ORF5	AD_MCI	DOWN
OSGIN2	AD_MCI	DOWN
PGK1	AD_MCI	DOWN
AZIN1	AD_MCI	DOWN
IVNS1ABP	AD_MCI	DOWN
BTF3L4	AD_MCI	DOWN
XRN1	AD_MCI	DOWN
GIMAP2	AD_MCI	DOWN
XRCC5	AD_MCI	DOWN
FBXO11	AD_MCI	DOWN
TXNDC10	AD_MCI	DOWN
C14ORF100	AD_MCI	DOWN
DR1	AD_MCI	DOWN
GPR160	AD_MCI	DOWN
UTX	AD_MCI	DOWN
ABI1	AD_MCI	DOWN
HS.538259	AD_MCI	DOWN
DIP2B	AD_MCI	DOWN
LYST	AD_MCI	DOWN
CNIH	AD_MCI	DOWN
STAG2	AD_MCI	DOWN
CHMP2B	AD_MCI	DOWN
CDKN1B	AD_MCI	DOWN
RNGTT	AD_MCI	DOWN
HHEX	AD_MCI	DOWN
NAB1	AD_MCI	DOWN
C4ORF18	AD_MCI	DOWN
SLC35A5	AD_MCI	DOWN
